run,config,method,n,roc_auc,eer,accuracy
ffpp_baseline_spatial_seed2,baseline_spatial,Deepfakes,1219,0.9984,0.018,0.9647
ffpp_baseline_spatial_seed2,baseline_spatial,Face2Face,1206,0.9951,0.0323,0.9577
ffpp_baseline_spatial_seed2,baseline_spatial,FaceSwap,1213,0.9982,0.0181,0.9654
ffpp_baseline_spatial_seed2,baseline_spatial,NeuralTextures,1210,0.9887,0.057,0.9455
ffpp_xception_seed2,xception,Deepfakes,1219,0.9991,0.018,0.9787
ffpp_xception_seed2,xception,Face2Face,1206,0.9981,0.029,0.9726
ffpp_xception_seed2,xception,FaceSwap,1213,0.9995,0.0124,0.9802
ffpp_xception_seed2,xception,NeuralTextures,1210,0.9943,0.0372,0.9628
ffpp_f3net_seed2,f3net,Deepfakes,1219,0.999,0.0164,0.9713
ffpp_f3net_seed2,f3net,Face2Face,1206,0.9981,0.0224,0.9701
ffpp_f3net_seed2,f3net,FaceSwap,1213,0.9992,0.0107,0.972
ffpp_f3net_seed2,f3net,NeuralTextures,1210,0.9924,0.0438,0.9595
ffpp_full_seed2,full,Deepfakes,1219,0.9975,0.0197,0.968
ffpp_full_seed2,full,Face2Face,1206,0.9954,0.0265,0.9652
ffpp_full_seed2,full,FaceSwap,1213,0.9985,0.0165,0.9711
ffpp_full_seed2,full,NeuralTextures,1210,0.9894,0.0471,0.9545
ffpp_full_banddrop_sas_seed2,full_banddrop,Deepfakes,1219,0.9975,0.0197,0.977
ffpp_full_banddrop_sas_seed2,full_banddrop,Face2Face,1206,0.9958,0.0191,0.9726
ffpp_full_banddrop_sas_seed2,full_banddrop,FaceSwap,1213,0.9972,0.0173,0.9769
ffpp_full_banddrop_sas_seed2,full_banddrop,NeuralTextures,1210,0.9886,0.0512,0.9488
ffpp_frequency_only_seed2,frequency_only,Deepfakes,1219,0.8478,0.2485,0.7441
ffpp_frequency_only_seed2,frequency_only,Face2Face,1206,0.6636,0.379,0.6128
ffpp_frequency_only_seed2,frequency_only,FaceSwap,1213,0.6625,0.3834,0.6232
ffpp_frequency_only_seed2,frequency_only,NeuralTextures,1210,0.6008,0.4405,0.5554
