run,config,method,n,roc_auc,eer,accuracy
ffpp_baseline_spatial_seed1,baseline_spatial,Deepfakes,1184,0.9976,0.0237,0.9713
ffpp_baseline_spatial_seed1,baseline_spatial,Face2Face,1180,0.9935,0.0331,0.9678
ffpp_baseline_spatial_seed1,baseline_spatial,FaceSwap,1190,0.9969,0.0235,0.9731
ffpp_baseline_spatial_seed1,baseline_spatial,NeuralTextures,1207,0.9831,0.0522,0.942
ffpp_xception_seed1,xception,Deepfakes,1184,0.9986,0.0144,0.973
ffpp_xception_seed1,xception,Face2Face,1180,0.9977,0.0271,0.9754
ffpp_xception_seed1,xception,FaceSwap,1190,0.999,0.0126,0.9756
ffpp_xception_seed1,xception,NeuralTextures,1207,0.9932,0.0348,0.9635
ffpp_f3net_seed1,f3net,Deepfakes,1184,0.9982,0.0135,0.9772
ffpp_f3net_seed1,f3net,Face2Face,1180,0.9962,0.0237,0.9712
ffpp_f3net_seed1,f3net,FaceSwap,1190,0.9982,0.0118,0.9782
ffpp_f3net_seed1,f3net,NeuralTextures,1207,0.9907,0.0423,0.9561
ffpp_full_seed1,full,Deepfakes,1184,0.9963,0.0228,0.9578
ffpp_full_seed1,full,Face2Face,1180,0.9928,0.0356,0.9593
ffpp_full_seed1,full,FaceSwap,1190,0.996,0.0193,0.9613
ffpp_full_seed1,full,NeuralTextures,1207,0.9831,0.0605,0.9395
ffpp_full_banddrop_sas_seed1,full_banddrop,Deepfakes,1184,0.9965,0.0177,0.9755
ffpp_full_banddrop_sas_seed1,full_banddrop,Face2Face,1180,0.9939,0.0322,0.9678
ffpp_full_banddrop_sas_seed1,full_banddrop,FaceSwap,1190,0.9971,0.0202,0.9773
ffpp_full_banddrop_sas_seed1,full_banddrop,NeuralTextures,1207,0.9838,0.048,0.9511
ffpp_frequency_only_seed1,frequency_only,Deepfakes,1184,0.8601,0.2247,0.7551
ffpp_frequency_only_seed1,frequency_only,Face2Face,1180,0.6743,0.3737,0.6212
ffpp_frequency_only_seed1,frequency_only,FaceSwap,1190,0.679,0.363,0.6311
ffpp_frequency_only_seed1,frequency_only,NeuralTextures,1207,0.6362,0.4175,0.5824
