run,perturbation,severity,roc_auc,accuracy,eer
ffpp_baseline_spatial_seed2,jpeg,0,0.995086970495947,0.9736666666666667,0.03361424649176327
ffpp_baseline_spatial_seed2,jpeg,1,0.9717849788634185,0.7066666666666667,0.0909662904209884
ffpp_baseline_spatial_seed2,jpeg,2,0.9541893194892355,0.7076666666666667,0.11344569859670534
ffpp_baseline_spatial_seed2,jpeg,3,0.9071100355181732,0.5746666666666667,0.1800722348121677
ffpp_baseline_spatial_seed2,jpeg,4,0.857704638063279,0.44633333333333336,0.2207084023359191
ffpp_xception_seed2,jpeg,0,0.9977644524100061,0.9793333333333333,0.028872134576832555
ffpp_xception_seed2,jpeg,1,0.9772046326157063,0.6996666666666667,0.0761107600453238
ffpp_xception_seed2,jpeg,2,0.9556274786455157,0.6846666666666666,0.10870358668177461
ffpp_xception_seed2,jpeg,3,0.9111998006188442,0.529,0.17223862546849122
ffpp_xception_seed2,jpeg,4,0.8622186328771899,0.39966666666666667,0.2167779787326767
ffpp_f3net_seed2,jpeg,0,0.9971802002527674,0.9826666666666667,0.02620010023533514
ffpp_f3net_seed2,jpeg,1,0.9760647280571777,0.718,0.07508934019001134
ffpp_f3net_seed2,jpeg,2,0.9573080547807896,0.695,0.10624128388390133
ffpp_f3net_seed2,jpeg,3,0.9095165006972893,0.5443333333333333,0.16356608995031813
ffpp_f3net_seed2,jpeg,4,0.8595016560620587,0.4156666666666667,0.22319794299660073
ffpp_full_seed2,jpeg,0,0.9952265645428396,0.978,0.030942212150265852
ffpp_full_seed2,jpeg,1,0.9692702431796392,0.7016666666666667,0.0952889392486708
ffpp_full_seed2,jpeg,2,0.9477230508585375,0.6973333333333334,0.12665061448618498
ffpp_full_seed2,jpeg,3,0.894194521921032,0.5596666666666666,0.19183626775908658
ffpp_full_seed2,jpeg,4,0.8267869399895407,0.434,0.24855911705743922
