ci_hi,ci_lo,config,excludes_0.01,excludes_0.014,excludes_zero,mean_diff,metric,n_seeds,per_seed,reference,sd,se,sign_unstable,subsets_positive,subsets_total
0.01855,-0.04409,baseline_spatial,False,False,False,-0.01277,roc_auc,5,-0.0164;-0.0550;+0.0080;-0.0010;+0.0006,xception,0.02523,0.01128,True,1,10
0.02825,-0.01852,f3net,False,False,False,0.00487,roc_auc,5,-0.0196;-0.0101;+0.0142;+0.0253;+0.0145,xception,0.01884,0.00843,True,7,10
