run,config,sas,dataset,seed,image_size,epochs,accuracy,precision,recall,f1,roc_auc,eer
ffpp_c40_baseline_spatial_seed0,baseline_spatial,0,ffpp_c40,0,128,15,0.95767,0.9811,0.96609,0.97354,0.9899,0.05665
ffpp_c40_baseline_spatial_seed1,baseline_spatial,0,ffpp_c40,1,128,15,0.94633,0.97712,0.95566,0.96627,0.98435,0.06301
ffpp_c40_baseline_spatial_seed2,baseline_spatial,0,ffpp_c40,2,128,15,0.956,0.98038,0.96393,0.97208,0.98925,0.05444
ffpp_c40_xception_seed0,xception,0,ffpp_c40,0,128,15,0.975,0.9859,0.98304,0.98447,0.99453,0.03582
ffpp_c40_xception_seed1,xception,0,ffpp_c40,1,128,15,0.97167,0.9854,0.97928,0.98233,0.99327,0.03907
ffpp_c40_xception_seed2,xception,0,ffpp_c40,2,128,15,0.968,0.9827,0.97693,0.97981,0.99213,0.04415
ffpp_c40_f3net_seed0,f3net,0,ffpp_c40,0,128,15,0.96967,0.9858,0.97643,0.98109,0.99477,0.03393
ffpp_c40_f3net_seed1,f3net,0,ffpp_c40,1,128,15,0.96767,0.9805,0.97928,0.97989,0.99346,0.04116
ffpp_c40_f3net_seed2,f3net,0,ffpp_c40,2,128,15,0.97067,0.97873,0.98448,0.9816,0.99211,0.04682
