freq,real_c23,real_c23_std,fake_c23,fake_c23_std,gap_db_c23,real_jpeg30,real_jpeg30_std,fake_jpeg30,fake_jpeg30_std,gap_db_jpeg30
0.0,394958.73807119584,368574.40257434786,383260.06030586566,354487.78232722485,-0.1305816300421636,394264.525163277,367724.04265680833,382532.39324991044,353641.8789463836,-0.13119484643584478
0.0125,220131.70524567112,178591.89138805924,208899.64944559496,169460.5607973317,-0.22744886662116492,219732.85841273403,178103.3110102902,208501.28911311371,169005.2487003292,-0.22786260850114815
0.025,21301.0839459114,15758.308519256614,20444.38099700734,14391.298525481505,-0.17827738121011016,21261.15263358455,15705.10113331677,20407.82893326786,14352.451312269068,-0.17790000103945047
0.0375,10726.567394398237,5656.146939310366,11186.088486623685,5402.593979568661,0.1821748470416118,10715.908202395098,5646.53965115584,11166.438073253354,5389.231027470565,0.17885677183817172
0.05,10557.729832367926,5561.027679337664,10333.951854182595,5130.6715990511175,-0.09304110564542611,10540.948147141075,5541.143518502347,10317.295160791971,5113.6692200443,-0.09313821795014832
0.0625,4642.616922652166,2343.8648287652345,4457.22095115656,2160.657609417998,-0.1769868684976439,4634.265243432492,2334.3259795556455,4448.7416824691845,2153.176859590424,-0.17743698088414028
0.075,2102.7049899671138,1139.4296880077468,1975.0087785593794,986.7701295228381,-0.2720931500860191,2099.3945288174386,1135.708500319853,1970.9474558897066,982.3365514228865,-0.2741901462317786
0.0875,1484.1855833355653,720.0362338263295,1432.4296845388478,662.8007426833667,-0.1541489633753823,1482.3028696881645,717.6215596909027,1430.6204704579882,661.1927647645806,-0.1541251440471969
0.1,1194.8327382136347,536.4384057220211,1110.0196776625794,490.4021527621747,-0.31976435962042693,1193.5168809800653,533.5932848914567,1108.9129623210267,488.88644796701607,-0.3193110593723203
0.1125,755.8808287017233,411.8556892185587,709.7891921303024,392.9876662072917,-0.27323948416301036,754.8977937855467,409.3931572248585,708.8638113067426,390.8147704448089,-0.2732535068048314
0.125,616.6912021894387,348.49587093165286,583.1047811608202,324.65253969097193,-0.24321150330748775,615.6588144176707,346.2199979665524,582.5123133755968,323.18024413005344,-0.24034991583847365
0.1375,608.8978116538102,335.93338996249315,559.2767047624637,293.94998610225275,-0.36917682943979013,608.0410451032366,334.24111271517904,558.9926427965711,293.20133817912523,-0.36526804864991824
0.15,453.69051149605946,231.73281545068693,418.10820539883105,204.76786242730503,-0.3547100581614737,453.1923904522421,230.92577678776453,417.7855663489821,203.74989665711607,-0.3532917711593919
0.1625,363.9026630030701,192.81186481590365,340.30992979891556,178.19342769236044,-0.2911061229436873,363.70505308276825,191.9596069673302,339.860149106169,177.08922100775726,-0.2944909129004136
0.175,298.56454938437173,167.13036192883632,280.0663842864317,155.1663241723579,-0.27777255088288655,298.40071550766896,166.59588522176932,279.6544477094657,154.66086772347558,-0.28178129284916587
0.1875,222.395650439124,122.33339763705942,201.03455012476022,112.65368426924431,-0.43855586772523214,222.27759502521414,121.97982968121447,200.97550291582212,112.24619344441655,-0.4375256510197989
0.2,173.8577469015675,85.34035345536202,155.8795603649626,77.6272590429781,-0.474048748513769,173.86049195083882,85.00970191833217,156.04428567027443,77.41789572159787,-0.46953034693641094
0.2125,139.70943350852235,64.64501852431395,126.23443739594057,60.54654522379634,-0.4404788286952499,139.73377951492478,64.25999153341382,126.25475739944673,60.16407832940721,-0.4405365426481378
0.225,123.07048594724998,60.67252699518374,108.21254024726636,54.81900960602357,-0.5587632336819093,123.23496463502849,60.49309912432855,108.23158180776645,54.37325482896924,-0.5637993906536343
0.2375,104.17208508661543,53.61606426378168,89.42561284435439,45.57514985468899,-0.6628943188600855,104.22574665572155,53.469147058548096,89.50644698580147,45.23604244599268,-0.661206971348729
0.25,92.06120191203644,48.61565038778096,79.34461441871741,39.53820704558175,-0.6455918655776838,92.2072698620789,48.26106869228936,79.48321177078085,39.42135519897464,-0.6448975547199964
0.2625,76.86043933324888,40.07919676237882,65.8325205623889,32.92728269296268,-0.6726237908865262,76.94235254688434,39.65627601825125,65.94199801081837,32.717781193597986,-0.6700335899227317
0.275,67.54614713377782,35.92798220088554,57.36599856786413,30.43444299402387,-0.7094602394241445,67.79702224522164,35.67423271147209,57.47330633022637,30.329579159219197,-0.7174443736936698
0.2875,56.441561622070786,29.614098453372026,47.53933835717433,24.668264423792095,-0.7454588825823638,56.645320235726054,29.410099402719172,47.71939339727274,24.6180143689441,-0.7446912200464983
0.3,47.736165771981206,25.7856238007113,39.34520930286278,19.974862142958237,-0.8395567303280682,47.93715506213369,25.633082827638077,39.64563447121384,19.99075360010608,-0.8247688376447071
0.3125,40.622487145623886,22.13085215360497,33.51912703571726,17.551914646034763,-0.8347381045979319,40.95661876449507,22.134923807474408,33.880583775016206,17.600229904424047,-0.8237321081077864
0.325,33.82899124086468,18.886533093675244,28.05886574067455,15.265268644273855,-0.8121893656044121,34.12214437643143,18.770892747618163,28.366565540866763,15.231613113191823,-0.8022955906233009
0.3375,30.593509904621747,17.765087568774565,24.701343137281707,13.555121611064646,-0.9290873646004716,30.906698817623298,17.669474225976202,24.992038924056217,13.493375300094108,-0.9225093138815033
0.35,27.34883218476946,16.234491746667498,21.63171651082019,11.936395903128611,-1.0184780357137568,27.605419798492353,16.15727178317132,21.913642857876695,11.88214417747262,-1.002797764802934
0.3625,23.062904385448775,13.756095539071373,18.25752496424472,10.234779458498625,-1.0147209530675672,23.24099695091019,13.619612753290435,18.501538678358408,10.166866295474389,-0.9904690570536445
0.375,21.002821762247923,12.735980306664636,16.546912773725833,9.711715507823376,-1.0356066920361906,21.180350362313966,12.627307379616996,16.78818321512069,9.66023908166704,-1.009294396463296
0.3875,17.860956989570433,11.01397697764221,13.870524671693692,8.281751288850137,-1.0981183542130357,18.053803900640403,10.91865505833701,14.145911096325962,8.222254983035866,-1.0593779648381574
0.4,16.279221685966057,10.140472861840207,12.569357750547853,7.570052915298848,-1.1232054988270268,16.44874183768838,10.023940433527544,12.844182603887976,7.490963776347665,-1.0742621310865696
0.4125,13.805122523491239,8.588664869364457,10.729114511743587,6.5225015923442395,-1.0947638482397837,13.953216662151695,8.476659681616889,10.944473883441427,6.443152986009011,-1.0547944856993974
0.425,11.955798154933417,7.56360914377435,9.263759774274972,5.669313337125079,-1.107912897965888,12.042086878385629,7.419426408250662,9.407045021766177,5.549788828687296,-1.072485334789115
0.4375,10.89047358168263,6.962379611081286,8.342761654896144,5.1311719790054084,-1.1573692935343305,10.967600061920802,6.81418335647426,8.482655615278748,5.034555955148764,-1.1157976965428984
0.45,9.128051218142222,5.7914639698389205,7.007270751573982,4.3553499763826125,-1.148291697541558,9.16297743892051,5.666497694562717,7.109720586484658,4.252397905247339,-1.1018408390914136
0.4625,8.375971136994657,5.439992902487437,6.3838205261638405,4.00172089537609,-1.1795450314336553,8.410180066649893,5.324219423311542,6.473313610568857,3.89444636620379,-1.1367864657577298
0.475,7.059530626805604,4.720922204958189,5.346699510430972,3.4173968461525113,-1.2069004947153306,7.066577955978371,4.574277807485459,5.379249143623874,3.276308220253006,-1.184874947147495
0.4875,6.431347349429224,4.3396041115992166,4.855466559088077,3.1498300272381226,-1.2207099836105995,6.418108644580174,4.177433170131671,4.884099700181709,3.013243704691344,-1.1862254355711588
0.5,5.869343319751878,3.987780556828729,4.378199032552285,2.844225573310001,-1.2729401283583508,5.833713047149896,3.8384389536184558,4.415059558348995,2.724673356761678,-1.2100849617772957
0.5125,4.997906670823066,3.401063089647106,3.7356842028310173,2.474857502589074,-1.2641798581064356,4.951474057333941,3.260192701166329,3.74794130618321,2.3446202509722895,-1.2094172658038227
0.525,4.491937567308931,3.0431929640325004,3.357141790416799,2.277491155832683,-1.2646402685681113,4.412811049394595,2.8684216536921183,3.3470703203474654,2.1277682463346546,-1.20050494856063
0.5375,3.90583671262959,2.665607729574059,2.8929488798249743,1.9957696573381374,-1.3037332336445628,3.8127113469566143,2.4707156712425484,2.8915476652970975,1.8488188392611042,-1.2010357079251182
0.55,3.5846381919404746,2.4970708538637734,2.6289850259075336,1.8676516282361328,-1.3465721468583065,3.480590806652922,2.2773632512571447,2.620555406186576,1.7175536707352062,-1.2325962194537672
