aggregation_space,point_estimate,ci_lo,ci_hi,half_width,exceedance_above_0p014,contains_zero,contains_0p014,n_boot,n_components,n_videos,n_runs,per_seed
mean_logit,-0.0092,-0.036,0.0175,0.0268,0.0405,True,True,50000,29,150,5,+0.0119; -0.0078; -0.0392; +0.0003; -0.0111
mean_probability,-0.006,-0.0379,0.0238,0.0308,0.0825,True,True,50000,29,150,5,+0.0172; +0.0047; -0.0506; +0.0047; -0.0061
